,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,label
342,Albania,362.0,1102.0,708.0,6,11.4,1288.0,2027.0,442.0,3,22.35,1
346,Albania,362.0,1102.0,708.0,6,11.4,0.0,701.0,800.0,4,22.35,1
349,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
351,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
354,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
355,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
356,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
357,Albania,362.0,1102.0,708.0,6,11.4,2413.0,704.0,282.0,3,11.5,1
358,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
359,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
360,Albania,362.0,1102.0,708.0,6,11.4,193.0,2253.0,514.0,5,17.75,1
361,Albania,362.0,1102.0,708.0,6,11.4,1770.0,4348.0,423.0,6,21.8,1
362,Albania,362.0,1102.0,708.0,6,11.4,853.0,4047.0,380.0,4,26.8,1
363,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
365,Albania,362.0,1102.0,708.0,6,11.4,2798.0,4862.0,1034.0,6,17.75,1
370,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
371,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
372,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
373,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
374,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
376,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
379,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
380,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
381,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
382,Albania,362.0,1102.0,708.0,6,11.4,2413.0,704.0,282.0,3,11.5,1
383,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
384,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
385,Albania,362.0,1102.0,708.0,6,11.4,193.0,2253.0,514.0,5,17.75,1
386,Albania,362.0,1102.0,708.0,6,11.4,1770.0,4348.0,423.0,6,21.8,1
387,Albania,362.0,1102.0,708.0,6,11.4,853.0,4047.0,380.0,4,26.8,1
388,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
390,Albania,362.0,1102.0,708.0,6,11.4,2798.0,4862.0,1034.0,6,17.75,1
395,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
396,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
397,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
