,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,start_year,finish_year,wars_victory,wars_loses,total_wars_participate,wars_inside_country,imperialism_wars,deimperialism_wars,battles_in_country,label
190,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
191,Afghanistan,0.0,5529.0,1885.0,6,12.6,1566.3,2027.0,1150.0,3,22.35,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
192,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
194,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
195,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
196,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
197,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
198,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
199,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
200,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
201,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
202,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
203,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
204,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
205,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
