https://en.wikipedia.org/wiki/Battle_of_Bapheus,1347,1347,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1347,1347,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Lunalonge,1349,1349,['Kingdom of France'],['Duchy of Gascony'],Battle of Lunalonge,[],300,unknown,1500,500,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1349,1349,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Les_Espagnols_sur_Mer,1350,1350,['Kingdom of England'],['Crown of Castile'],Battle of Winchelsea,['Winchelsea'],2,40,50,40,False,1
https://en.wikipedia.org/wiki/Combat_of_the_Thirty,1351,1351,['Kingdom of France'],['Kingdom of England'],Combat of the Thirty,"['Guillac', 'Duchy of Brittany']",6,9,30,30,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1351,1351,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1351,1351,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mauron,1352,1352,none,none,Battle of Mauron,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Sapienza,1354,1354,none,none,Battle of Sapienza,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1354,1354,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1356,1356,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Bubat,1357,1357,['Majapahit Empire'],['Sunda Kingdom'],Battle of Bubat,"['Trowulan', 'Majapahit']",unknown,unknown,unknown,100,False,1
https://en.wikipedia.org/wiki/Battle_of_Mello,1358,1358,non-state,non-state,Battle of Mello,"['Mello', 'Meaux', 'Beauvais', 'Paris']",unknown,unknown,4000,9000,False,1
https://en.wikipedia.org/wiki/Battle_of_Campo_delle_Mosche,1359,1359,non-state,non-state,Battle of Campo delle Mosche,[],-1,-1,6000,1500,False,1
https://en.wikipedia.org/wiki/Battle_of_Visby,1361,1361,['Kingdom of Denmark'],"['Kingdom of Sweden', 'Gotland']",Battle of Visby,"['Visby', 'Gotland']",301,1701,4500,2000,False,1
https://en.wikipedia.org/wiki/Battle_of_Helsingborg_(1362),1362,1362,['Denmark'],['Hanseatic League'],Battle of Helsingborg (1362),"['Øresund', 'Helsingborg']",unknown,12,2500,55,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1362,1362,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1362,1362,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mauron,1362,1362,none,none,Battle of Mauron,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Blue_Waters,1362/1363,1362/1363,['Grand Duchy of Lithuania'],['Golden Horde'],Battle of Blue Waters,"['Torhovytsia', 'Novoarkhanhelsk Raion', 'Ukraine', '[1]']",-1,-1,45000,30000,False,1
https://en.wikipedia.org/wiki/Battle_of_Lake_Poyang,1363,1363,['Han'],non-state,Battle of Lake Poyang,"['Lake Poyang', 'Nanchang', 'China']",unknown,12693,650102,200000,False,1
https://en.wikipedia.org/wiki/Battle_of_Cocherel,1364,1364,['France'],"['Navarre', 'England']",Battle of Cocherel,"['Houlbec-Cocherel', 'Eure']",-1,-1,4500,11300,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1364,1364,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1364,1364,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Adrianople_(1365),1365,1365,['Byzantine Empire'],['Ottoman Empire'],Ottoman conquest of Adrianople,['Edirne'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_N%C3%A1jera,1367,1367,"['Peter', 'Kingdom of England', 'Duchy of Aquitaine', 'Kingdom of Majorca', 'Kingdom of Navarre', 'Elite European mercenaries']","['Henry', 'Kingdom of France', 'Crown of Aragon']",Battle of Nájera,['Nájera'],unknown,unknown,10000,4500,False,1
https://en.wikipedia.org/wiki/Battle_of_Montiel,1369,1369,"['Henry', 'France']","['Peter', 'Granada']",Battle of Montiel,"['Montiel', 'La Mancha', 'Castile']",unknown,unknown,unknown,15000,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1369,1369,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1369,1369,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Rudau,1370,1370,['Teutonic Knights'],['Grand Duchy of Lithuania'],Battle of Rudau,['Königsberg'],433,4507,unknown,5003,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1370,1370,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1370,1370,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
